DateTime,p_sam,T_sam,RH_sam,nbin,Conc_001,Conc_002,Conc_003,Conc_004,Conc_005,Conc_006,Conc_007,Conc_008,Conc_009,Conc_010,Conc_011,Conc_012,Conc_013,Conc_014,Conc_015,Conc_016,Conc_017,Conc_018,Conc_019,Conc_020,Conc_021,Conc_022,Conc_023,Conc_024,Conc_025,Conc_026,Conc_027,Conc_028,Conc_029,Conc_030,Conc_031,Conc_032,Conc_033,Conc_034,Conc_035,Conc_036,Conc_037,Conc_038,Conc_039,Conc_040,Conc_041,Conc_042,Conc_043,Conc_044,Conc_045,Conc_046,Conc_047,Conc_048,Conc_049,Conc_050,Conc_051,Conc_052,Conc_053,Conc_054,Conc_055,Conc_056,Conc_057,Conc_058,Conc_059,Conc_060,Conc_061,Conc_062,Conc_063,Conc_064,Conc_065,Conc_066,Conc_067,Conc_068,Conc_069,Conc_070,Conc_071,15prc_001,15prc_002,15prc_003,15prc_004,15prc_005,15prc_006,15prc_007,15prc_008,15prc_009,15prc_010,15prc_011,15prc_012,15prc_013,15prc_014,15prc_015,15prc_016,15prc_017,15prc_018,15prc_019,15prc_020,15prc_021,15prc_022,15prc_023,15prc_024,15prc_025,15prc_026,15prc_027,15prc_028,15prc_029,15prc_030,15prc_031,15prc_032,15prc_033,15prc_034,15prc_035,15prc_036,15prc_037,15prc_038,15prc_039,15prc_040,15prc_041,15prc_042,15prc_043,15prc_044,15prc_045,15prc_046,15prc_047,15prc_048,15prc_049,15prc_050,15prc_051,15prc_052,15prc_053,15prc_054,15prc_055,15prc_056,15prc_057,15prc_058,15prc_059,15prc_060,15prc_061,15prc_062,15prc_063,15prc_064,15prc_065,15prc_066,15prc_067,15prc_068,15prc_069,15prc_070,15prc_071,84prc_001,84prc_002,84prc_003,84prc_004,84prc_005,84prc_006,84prc_007,84prc_008,84prc_009,84prc_010,84prc_011,84prc_012,84prc_013,84prc_014,84prc_015,84prc_016,84prc_017,84prc_018,84prc_019,84prc_020,84prc_021,84prc_022,84prc_023,84prc_024,84prc_025,84prc_026,84prc_027,84prc_028,84prc_029,84prc_030,84prc_031,84prc_032,84prc_033,84prc_034,84prc_035,84prc_036,84prc_037,84prc_038,84prc_039,84prc_040,84prc_041,84prc_042,84prc_043,84prc_044,84prc_045,84prc_046,84prc_047,84prc_048,84prc_049,84prc_050,84prc_051,84prc_052,84prc_053,84prc_054,84prc_055,84prc_056,84prc_057,84prc_058,84prc_059,84prc_060,84prc_061,84prc_062,84prc_063,84prc_064,84prc_065,84prc_066,84prc_067,84prc_068,84prc_069,84prc_070,84prc_071,numflag
2016-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
